                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200331"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      520                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.0000000000100004E-001                  3.2599708446226337E+001                 -7.0000000000000000E+000                  1.2308623313424560E-005                  9.9994602180269965E-001                  3.4739774141138735E-001                  9.3959488592105234E-002                  4.1699073406320931E-002                  9.9994602180269965E-001                  3.4739774141138735E-001                  9.3959488592105234E-002                  4.1699073406320931E-002                 -2.4300326066112387E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300326066112387E+001                 -2.4300326066112387E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6525554014747335E+000                  2.2961088771311911E+000                  1.3662024720687540E+000                  1.0065144049417698E+000                  0.0000000000000000E+000                  9.7890057686689858E+000                 -3.3094925902476722E+000                  4.9968058107191542E+000                  6.3824862995218712E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000000000070009E-001                  6.0000000000299987E-002                                        0                                        0                                        8 
                                       5                                      520                  5.2944000000000007E-005                 -4.8593662748651818E+000                  2.0000000000529444E-001                  3.2599708446235660E+001                 -7.0000000000000000E+000                  1.2308629409085147E-005                  4.6979941439819761E-001                  1.5445592583862430E-003                  9.6131052921455939E-001                  5.4877520722260209E-001                  4.6979941439819761E-001                  1.5445592583862430E-003                  9.6131052921455939E-001                  5.4877520722260209E-001                 -2.4300325636227537E+001                 -9.8999999999999986E+001                 -4.0036989423309493E+001                 -2.4300325636227537E+001                 -2.4300325636227537E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6510406661377761E+000                  2.2896992887622458E+000                  1.3660271485581974E+000                  1.0068650519722082E+000                  0.0000000000000000E+000                  9.7890071809743286E+000                 -3.3094915335507626E+000                  4.9968061491972033E+000                  6.3824860077565737E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  9.9850373504500687E-100                  9.9850373504500687E-100                  1.4000000000370610E-001                  6.0000000001588304E-002                                        0                                        0                                        5 
                                      10                                      520                  1.7639121407999998E-004                 -4.4634600446270571E+000                  2.0000000001763918E-001                  3.2599708446262468E+001                 -7.0000000000000000E+000                  1.2308628991577015E-005                  4.6979941436919981E-001                  1.5445592582849469E-003                  9.6131052915522375E-001                  5.4877520718580042E-001                  4.6979941436919981E-001                  1.5445592582849469E-003                  9.6131052915522375E-001                  5.4877520718580042E-001                 -2.4300324318275639E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300324318275639E+001                 -2.4300324318275639E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6551989556801878E+000                  2.3055259726739701E+000                  1.3656239114292359E+000                  1.0076715262569378E+000                  0.0000000000000000E+000                  9.7890110119504747E+000                 -3.3094885804527769E+000                  4.9968069925593381E+000                  6.3824853390420788E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  9.9844748450136925E-100                  9.9844748450136925E-100                  1.4000000001234733E-001                  6.0000000005291779E-002                                        0                                        0                                        5 
                                      15                                      520                  4.8356738581954549E-004                 -4.0675538143889334E+000                  2.0000000004835680E-001                  3.2599708446329167E+001                 -7.0000000000000000E+000                  1.2308627049624203E-005                  4.7499784213123808E-001                  2.1616829490587563E-004                  9.7037244670474421E-001                  5.4410560888331017E-001                  4.7499784213123808E-001                  2.1616829490587563E-004                  9.7037244670474421E-001                  5.4410560888331017E-001                 -2.4300321674199711E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300321674199711E+001                 -2.4300321674199711E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6534727216580616E+000                  2.2969084233115749E+000                  1.3647676047922903E+000                  1.0093841395975314E+000                  0.0000000000000000E+000                  9.7890189186760264E+000                 -3.3094829038561557E+000                  4.9968090938151439E+000                  6.3824833670511361E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  7.7063270634083694E-100                  7.7063270634083694E-100                  1.4000000003384971E-001                  6.0000000014507088E-002                                        0                                        0                                        5 
                                      20                                      515                  1.2479199974824910E-003                 -3.6716475841508096E+000                  2.0000000012479208E-001                  3.2599708446495150E+001                 -7.0000000000000000E+000                  1.2308613470113594E-005                  4.8016200388334573E-001                  2.1616829144199145E-004                  9.7037244633389086E-001                  5.3465887032246784E-001                  4.8016200388334573E-001                  2.1616829144199145E-004                  9.7037244633389086E-001                  5.3465887032246784E-001                 -2.4300315836954884E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300315836954884E+001                 -2.4300315836954884E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6389026726823266E+000                  2.2352756320866072E+000                  1.3630913071312774E+000                  1.0127367350855339E+000                  0.0000000000000000E+000                  9.7890364248239212E+000                 -3.3094712293098016E+000                  4.9968145169086080E+000                  6.3824777360553653E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  9.8719737327362952E-100                  9.8719737327362952E-100                  1.4000000008735439E-001                  6.0000000037437648E-002                                        0                                        0                                        5 
                                      25                                      513                  3.1498738881356328E-003                 -3.2757413539126854E+000                  2.0000000031498746E-001                  3.2599708446908153E+001                 -7.0000000000000000E+000                  1.2308481461576111E-005                  4.9038673800702981E-001                  2.1616829115356215E-004                  9.9992745400524508E-001                  5.2022060888534205E-001                  4.9038673800702981E-001                  2.1616829115356215E-004                  9.9992745400524508E-001                  5.2022060888534205E-001                 -2.4300303265238604E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300303265238604E+001                 -2.4300303265238604E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6148251044979665E+000                  2.1343464385289375E+000                  1.3607818467211623E+000                  1.0173556563187682E+000                  0.0000000000000000E+000                  9.7890739745323785E+000                 -3.3094466718594076E+000                  4.9968265662834996E+000                  6.3824649731141503E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  9.6750968002232029E-100                  9.6750968002232029E-100                  1.4000000022049103E-001                  6.0000000094496235E-002                                        0                                        0                                        5 
                                      30                                      514                  7.8825437933256557E-003                 -2.8798351236745612E+000                  2.0000000078825447E-001                  3.2599708447935839E+001                 -7.0000000000000000E+000                  1.2306816436844809E-005                  9.9991626799545319E-001                  1.1308486377717955E-004                  3.5772290641777893E-005                  7.8136198067291218E-008                  9.9991626799545319E-001                  1.1308486377717955E-004                  3.5772290641777893E-005                  7.8136198067291218E-008                 -2.4300270453451692E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300270453451692E+001                 -2.4300270453451692E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5916078092318489E+000                  2.0339917604491551E+000                  1.3570390982135057E+000                  1.0248411543617677E+000                  0.0000000000000000E+000                  9.7891550471642237E+000                 -3.3093938059085950E+000                  4.9968527158277691E+000                  6.3824371959235715E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  9.0000901163157812E-100                  9.0000901163157812E-100                  1.4000000055177814E-001                  6.0000000236476322E-002                                        0                                        0                                        5 
                                      35                                      511                  1.9658940971808096E-002                 -2.4839288934364374E+000                  2.0000000196589421E-001                  3.2599708450493047E+001                 -7.0000000000000000E+000                  1.2262405855570228E-005                  9.9991626789903376E-001                  1.1308486422467295E-004                  3.5772290429836318E-005                  7.8136196401956681E-008                  9.9991626789903376E-001                  1.1308486422467295E-004                  3.5772290429836318E-005                  7.8136196401956681E-008                 -2.4300198281584137E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300198281584137E+001                 -2.4300198281584137E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5760127631350422E+000                  1.9627047461145906E+000                  1.3525856832398375E+000                  1.0337479868663164E+000                  0.0000000000000000E+000                  9.7893045430647625E+000                 -3.3092963542138616E+000                  4.9969009624685192E+000                  6.3823859264057003E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  8.4375845414196206E-100                  8.4375845414196206E-100                  1.4000000137612595E-001                  6.0000000589768204E-002                                        0                                        0                                        5 
                                      40                                      511                  4.8962385598969510E-002                 -2.0880226631983132E+000                  2.0000000489623868E-001                  3.2599708456856213E+001                 -7.0000000000000000E+000                  2.5003583754169368E-007                  9.9991626765923192E-001                  1.1308486571306211E-004                  9.9999211414875344E-001                  9.9997636453097705E-001                  9.9991626765923192E-001                  1.1308486571306211E-004                  9.9999211414875344E-001                  9.9997636453097705E-001                 -2.4300055432184255E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300055432184255E+001                 -2.4300055432184255E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5663962550074877E+000                  1.9176412314601632E+000                  1.3492869421677323E+000                  1.0403454753736887E+000                  0.0000000000000000E+000                  9.7895587532338908E+000                 -3.3091306508753195E+000                  4.9969830109600268E+000                  6.3822987211646054E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  4.5000453749567586E-100                  4.5000453749567586E-100                  1.4000000342736704E-001                  6.0000001468871605E-002                                        0                                        0                                        5 
