                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200331"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      520                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.0000000000100004E-001                  3.2599708446226337E+001                 -7.0000000000000000E+000                  1.2308623313424560E-005                  9.9994602180269965E-001                  3.4739774141138735E-001                  9.3959488592105234E-002                  4.1699073406320931E-002                  9.9994602180269965E-001                  3.4739774141138735E-001                  9.3959488592105234E-002                  4.1699073406320931E-002                 -1.3255894564438934E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255894564438934E+001                 -1.3255894564438934E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6525554014747112E+000                  2.2961088771358935E+000                  1.3662024720711503E+000                  1.0065144049369774E+000                  0.0000000000000000E+000                  9.7890057686372582E+000                 -3.3094925902687682E+000                  4.9968058107092679E+000                  6.3824862995321685E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999750000070005E-001                  6.0000000000299987E-002                                        0                                        0                                        8 
                                       5                                      520                  5.2944000000000007E-005                 -4.8593662748651818E+000                  2.0000000000529444E-001                  3.2599708446235660E+001                 -7.0000000000000000E+000                  1.2308629409041011E-005                  4.6979941439819761E-001                  1.5445592583862105E-003                  9.6131052921455939E-001                  5.4877520722260220E-001                  4.6979941439819761E-001                  1.5445592583862105E-003                  9.6131052921455939E-001                  5.4877520722260220E-001                 -1.3255894134533586E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255894134533586E+001                 -1.3255894134533586E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6510406661384023E+000                  2.2896992887945191E+000                  1.3660271485730819E+000                  1.0068650519424391E+000                  0.0000000000000000E+000                  9.7890071811857329E+000                 -3.3094915334191439E+000                  4.9968061492707676E+000                  6.3824860076753220E-001                  8.4999374999999977E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  9.9934749347827371E-100                  9.9934749347827371E-100                  1.3999750000370612E-001                  6.0000000001588304E-002                                        0                                        0                                        5 
                                      10                                      520                  1.7639121407999998E-004                 -4.4634600446270571E+000                  2.0000000001763918E-001                  3.2599708446262468E+001                 -7.0000000000000000E+000                  1.2308628991526540E-005                  4.6979941436919981E-001                  1.5445592582849408E-003                  9.6131052915522375E-001                  5.4877520718580042E-001                  4.6979941436919981E-001                  1.5445592582849408E-003                  9.6131052915522375E-001                  5.4877520718580042E-001                 -1.3255892816590483E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255892816590483E+001                 -1.3255892816590483E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6551989556819877E+000                  2.3055259727285842E+000                  1.3656239114529427E+000                  1.0076715262095237E+000                  0.0000000000000000E+000                  9.7890110129508372E+000                 -3.3094885797823657E+000                  4.9968069928663974E+000                  6.3824853387249569E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  5.4844298438029530E-100                  5.4844298438029530E-100                  1.3999750001234720E-001                  6.0000000005291779E-002                                        0                                        0                                        5 
                                      15                                      520                  4.8356738581954549E-004                 -4.0675538143889334E+000                  2.0000000004835680E-001                  3.2599708446329167E+001                 -7.0000000000000000E+000                  1.2308627049438548E-005                  4.7499784213123808E-001                  2.1616829490647016E-004                  9.7037244670474421E-001                  5.4410560888331028E-001                  4.7499784213123808E-001                  2.1616829490647016E-004                  9.7037244670474421E-001                  5.4410560888331028E-001                 -1.3255890172477493E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255890172477493E+001                 -1.3255890172477493E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6534727216611005E+000                  2.2969084233848545E+000                  1.3647676048228525E+000                  1.0093841395364067E+000                  0.0000000000000000E+000                  9.7890189199576838E+000                 -3.3094829030152186E+000                  4.9968090942240577E+000                  6.3824833666193892E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  9.9563495655236516E-100                  9.9563495655236516E-100                  1.3999750003384923E-001                  6.0000000014507088E-002                                        0                                        0                                        5 
                                      20                                      515                  1.2479199974824910E-003                 -3.6716475841508096E+000                  2.0000000012479208E-001                  3.2599708446495150E+001                 -7.0000000000000000E+000                  1.2308613469835899E-005                  4.8016200388334573E-001                  2.1616829144198714E-004                  9.7037244633389086E-001                  5.3465887032246762E-001                  4.8016200388334573E-001                  2.1616829144198714E-004                  9.7037244633389086E-001                  5.3465887032246762E-001                 -1.3255884335243202E+001                 -9.8999999999999986E+001                 -2.8898879583742193E+001                 -1.3255884335243202E+001                 -1.3255884335243202E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6389026726819855E+000                  2.2352756320556302E+000                  1.3630913071164701E+000                  1.0127367351151488E+000                  0.0000000000000000E+000                  9.7890364251759081E+000                 -3.3094712290794859E+000                  4.9968145170214591E+000                  6.3824777359358920E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  9.8719737327362932E-100                  9.8719737327362932E-100                  1.3999750008735284E-001                  6.0000000037437648E-002                                        0                                        0                                        5 
                                      25                                      513                  3.1498738881356328E-003                 -3.2757413539126854E+000                  2.0000000031498746E-001                  3.2599708446908153E+001                 -7.0000000000000000E+000                  1.2308481462124498E-005                  4.9038673800702981E-001                  2.1616829115354182E-004                  9.9992745400524508E-001                  5.2022060888534205E-001                  4.9038673800702981E-001                  2.1616829115354182E-004                  9.9992745400524508E-001                  5.2022060888534205E-001                 -1.3255871763596836E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255871763596836E+001                 -1.3255871763596836E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6148251044959090E+000                  2.1343464385069764E+000                  1.3607818467142963E+000                  1.0173556563325004E+000                  0.0000000000000000E+000                  9.7890739768246142E+000                 -3.3094466703651793E+000                  4.9968265670232750E+000                  6.3824649723281002E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  9.6750968002232009E-100                  9.6750968002232009E-100                  1.3999750022048718E-001                  6.0000000094496235E-002                                        0                                        0                                        5 
                                      30                                      514                  7.8825437933256557E-003                 -2.8798351236745612E+000                  2.0000000078825447E-001                  3.2599708447935839E+001                 -7.0000000000000000E+000                  1.2306816388541051E-005                  9.9991626799545319E-001                  1.1308486377743438E-004                  3.5772290641777893E-005                  7.8136198067291218E-008                  9.9991626799545319E-001                  1.1308486377743438E-004                  3.5772290641777893E-005                  7.8136198067291218E-008                 -1.3255838951773091E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255838951773091E+001                 -1.3255838951773091E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5916078092892620E+000                  2.0339917612160763E+000                  1.3570390984821412E+000                  1.0248411538244970E+000                  0.0000000000000000E+000                  9.7891550472691442E+000                 -3.3093938058402474E+000                  4.9968527158616718E+000                  6.3824371958875215E-001                  8.4999375000000010E-001                  1.2903329865563431E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  9.0000901163157812E-100                  9.0000901163157812E-100                  1.3999750055176838E-001                  6.0000000236476322E-002                                        0                                        0                                        5 
                                      35                                      511                  1.9658940971808096E-002                 -2.4839288934364374E+000                  2.0000000196589421E-001                  3.2599708450493047E+001                 -7.0000000000000000E+000                  1.2262405986191911E-005                  9.9991626789903376E-001                  1.1308486422513077E-004                  3.5772290429836318E-005                  7.8136196401956681E-008                  9.9991626789903376E-001                  1.1308486422513077E-004                  3.5772290429836318E-005                  7.8136196401956681E-008                 -1.3255766779524134E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255766779524134E+001                 -1.3255766779524134E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5760127631497527E+000                  1.9627047475629433E+000                  1.3525856839345929E+000                  1.0337479854768055E+000                  0.0000000000000000E+000                  9.7893045451830432E+000                 -3.3092963528331780E+000                  4.9969009631522852E+000                  6.3823859256789806E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  7.3125733916273024E-100                  7.3125733916273024E-100                  1.3999750137610131E-001                  6.0000000589768204E-002                                        0                                        0                                        5 
                                      40                                      511                  4.8962385598969510E-002                 -2.0880226631983132E+000                  2.0000000489623868E-001                  3.2599708456856213E+001                 -7.0000000000000000E+000                  2.5003583753931495E-007                  9.9991626765923192E-001                  1.1308486571208512E-004                  9.9999211414875344E-001                  9.9997636453083738E-001                  9.9991626765923192E-001                  1.1308486571208512E-004                  9.9999211414875344E-001                  9.9997636453083738E-001                 -1.3255623931611110E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255623931611110E+001                 -1.3255623931611110E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5663962549051478E+000                  1.9176412313591060E+000                  1.3492869423218843E+000                  1.0403454750653847E+000                  0.0000000000000000E+000                  9.7895587540925906E+000                 -3.3091306503156885E+000                  4.9969830112372691E+000                  6.3822987208698623E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  4.5000453749567601E-100                  4.5000453749567601E-100                  1.3999750342730585E-001                  6.0000001468871605E-002                                        0                                        0                                        5 
                                      45                                      506                  1.2187873293362780E-001                 -1.6921164329601890E+000                  2.0000001218787339E-001                  3.2599708472689798E+001                 -7.0000000000000000E+000                  0.0000000000000000E+000                  9.9991350680543223E-001                  1.1308486594318256E-004                  9.9999087331612502E-001                  9.9997338884304399E-001                  9.9991350680543223E-001                  1.1308486594318256E-004                  9.9999087331612502E-001                  9.9997338884304399E-001                 -1.3255340460593558E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255340460593558E+001                 -1.3255340460593558E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5613222356499907E+000                  1.8929940216204320E+000                  1.3471113759628603E+000                  1.0446966236170157E+000                  0.0000000000000000E+000                  9.7900133133326861E+000                 -3.3088343627762953E+000                  4.9971297343519581E+000                  6.3821427330738945E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999750853135898E-001                  6.0000003656361989E-002                                        0                                        0                                        5 
                                      50                                      508                  3.0331793833340470E-001                 -1.2962102027220650E+000                  2.0000003033179392E-001                  3.2599708512088810E+001                 -7.0000000000000000E+000                  0.0000000000000000E+000                  9.9991350527671985E-001                  1.1308486080201409E-004                  9.9999087316056401E-001                  9.9997246388643302E-001                  9.9991350527671985E-001                  1.1308486080201409E-004                  9.9999087316056401E-001                  9.9997246388643302E-001                 -1.3254713000005985E+001                 -9.8999999999999986E+001                 -2.9199909579406174E+001                 -1.3254713000005985E+001                 -1.3254713000005985E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5597302243347024E+000                  1.8843825066301823E+000                  1.3459896410983136E+000                  1.0469401327451278E+000                  0.0000000000000000E+000                  9.7908951110076838E+000                 -3.3082596364072159E+000                  4.9974144013524446E+000                  6.3818399284276195E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999752123187661E-001                  6.0000009099538239E-002                                        0                                        0                                        5 
                                      55                                      505                  7.5479674191377744E-001                 -9.0030397248394112E-001                  2.0000007547967427E-001                  3.2599708610126164E+001                 -7.0000000000000000E+000                  0.0000000000000000E+000                  9.9991350149345937E-001                  1.1308483024917593E-004                  9.9999087279446219E-001                  9.9997245271800383E-001                  9.9991350149345937E-001                  1.1308483024917593E-004                  9.9999087279446219E-001                  9.9997245271800383E-001                 -1.3253086952430079E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3253086952430079E+001                 -1.3253086952430079E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5595842622619300E+000                  1.8821085502250132E+000                  1.3451445870412726E+000                  1.0486303388965603E+000                  0.0000000000000000E+000                  9.7930180905219419E+000                 -3.3068761851672113E+000                  4.9980999816330902E+000                  6.3811097326274424E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999755283482837E-001                  6.0000022643902202E-002                                        0                                        0                                        5 
                                      60                                      520                  1.8782204784388901E+000                 -5.0439774224581702E-001                  2.0000018782204790E-001                  3.2599708854074372E+001                 -7.0000000000000000E+000                  0.0000000000000000E+000                  9.9991625291030983E-001                  6.1543098552636108E-005                  9.9999087198379488E-001                  9.9997277721219680E-001                  9.9991625291030983E-001                  6.1543098552636108E-005                  9.9999087198379488E-001                  9.9997277721219680E-001                 -1.3248975424525678E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3248975424525678E+001                 -1.3248975424525678E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5597694791246086E+000                  1.8794671974299844E+000                  1.3434534769184014E+000                  1.0520128030905069E+000                  0.0000000000000000E+000                  9.7983893460464113E+000                 -3.3033775247821886E+000                  4.9998360349472062E+000                  6.3792540903098260E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999763147308575E-001                  6.0000056346614344E-002                                        0                                        0                                        5 
                                      65                                      505                  4.6736582305090577E+000                 -1.0849151200769308E-001                  2.0000046736582308E-001                  3.2599709461094967E+001                 -7.0000000000000000E+000                  1.9998432792581328E-001                  9.9991623109027306E-001                  7.8136014547425248E-008                  9.9999087057965241E-001                  9.9997361051954425E-001                  9.9991623109027306E-001                  7.8136014547425248E-008                  9.9999087057965241E-001                  9.9997361051954425E-001                 -1.3238901630554544E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3238901630554544E+001                 -1.3238901630554544E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5602817284799060E+000                  1.8733145425321085E+000                  1.3393526507588680E+000                  1.0602150624301743E+000                  0.0000000000000000E+000                  9.8115725351312246E+000                 -3.2935485538718634E+000                  5.0030267745791033E+000                  6.3764372413639847E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000427195776955E-099                  1.0000427195776955E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999782715023409E-001                  6.0000140209746908E-002                                        0                                        0                                        5 
                                      70                                      507                  1.1518727729796916E+001                  2.6183310129796861E-001                  2.0000115187277304E-001                  3.2599710947476908E+001                 -7.0000000000000000E+000                  1.9998577141033544E-001                  9.9992061509472097E-001                  7.8135747094698615E-008                  9.9999211057254822E-001                  9.9997561600140794E-001                  9.9992061509472097E-001                  7.8135747094698615E-008                  9.9999211057254822E-001                  9.9997561600140794E-001                 -1.3215185925873772E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3215185925873772E+001                 -1.3215185925873772E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5617269303336090E+000                  1.8598452360230506E+000                  1.3297275937969344E+000                  1.0794666627359806E+000                  0.0000000000000000E+000                  9.8425989849543960E+000                 -3.2704277562012214E+000                  5.0105534934114360E+000                  6.3697639163871145E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000429657759750E-099                  1.0000429657759750E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999830629654275E-001                  6.0000345561831925E-002                                        0                                        0                                        5 
