                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200522"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      512                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.0000020787942008E-001                  3.2599708897628354E+001                 -2.5006954719830214E+000                  1.2308621179093011E-005                  9.9994800426821107E-001                  3.4739738044569923E-001                  9.3959390931450226E-002                  4.1699030111219990E-002                  9.9994800426821107E-001                  3.4739738044569923E-001                  9.3959390931450226E-002                  4.1699030111219990E-002                 -2.4300324404123362E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300324404123362E+001                 -2.4300324404123362E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6446382776377826E+000                  2.2638479193932546E+000                  1.3659062408736891E+000                  1.0071073187339186E+000                  0.0000000000000000E+000                  9.7890071840381800E+000                 -3.3094847187550829E+000                  4.9968002761401822E+000                  6.3824956460713156E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000014551559398E-001                  6.0000062363826039E-002                                        0                                        0                                        7 
                                       5                                      514                  5.2944000000000007E-005                 -4.8593662748651818E+000                  2.0000022311735788E-001                  3.2599708930717078E+001                 -3.5313161766488421E+000                  1.2308629407061040E-005                  4.6979889030919453E-001                  1.5445575353328076E-003                  9.6105237645883190E-001                  5.4877459502963444E-001                  4.6979889030919453E-001                  1.5445575353328076E-003                  9.6105237645883190E-001                  5.4877459502963444E-001                 -2.4300323767593738E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300323767593738E+001                 -2.4300323767593738E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6466441696514460E+000                  2.2716131929279442E+000                  1.3657770936137070E+000                  1.0073656463426088E+000                  0.0000000000000000E+000                  9.7890088259531396E+000                 -3.3094835229087582E+000                  4.9968006977948587E+000                  6.3824952606839647E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000015618215050E-001                  6.0000066935207347E-002                                        0                                        0                                        5 
                                      10                                      513                  1.7639121407999998E-004                 -4.4634600446270571E+000                  2.0000025020657552E-001                  3.2599708989540503E+001                 -3.7178536399018776E+000                  1.2308628987373707E-005                  4.6979882667685147E-001                  1.5445573261222085E-003                  9.6105224628820984E-001                  5.4877452069908472E-001                  4.6979882667685147E-001                  1.5445573261222085E-003                  9.6105224628820984E-001                  5.4877452069908472E-001                 -2.4300322213187943E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300322213187943E+001                 -2.4300322213187943E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6514288593422206E+000                  2.2900395384911301E+000                  1.3654208870137501E+000                  1.0080781183659420E+000                  0.0000000000000000E+000                  9.7890129066006946E+000                 -3.3094804252830223E+000                  4.9968016374463984E+000                  6.3824944805770245E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000017514460289E-001                  6.0000075061972635E-002                                        0                                        0                                        5 
                                      15                                      517                  4.8356738581954549E-004                 -4.0675538143889334E+000                  2.0000029697890392E-001                  3.2599709091105183E+001                 -3.8670286887582166E+000                  1.2308627043616901E-005                  4.7499713692543510E-001                  2.1616797322521826E-004                  9.7017131784893706E-001                  5.4410480107653758E-001                  4.7499713692543510E-001                  2.1616797322521826E-004                  9.7017131784893706E-001                  5.4410480107653758E-001                 -2.4300319065465917E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300319065465917E+001                 -2.4300319065465917E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6510724951154105E+000                  2.2869905430938511E+000                  1.3646091177687310E+000                  1.0097017584206618E+000                  0.0000000000000000E+000                  9.7890213734350695E+000                 -3.3094743934772382E+000                  4.9968039280065248E+000                  6.3824923025261782E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000020788523268E-001                  6.0000089093671181E-002                                        0                                        0                                        5 
                                      20                                      511                  1.2479199974824910E-003                 -3.6716475841508096E+000                  2.0000038103500550E-001                  3.2599709273630381E+001                 -4.0053745858301228E+000                  1.2308613510979315E-005                  4.8016108939202684E-001                  2.1616787971143363E-004                  9.7723952357325516E-001                  5.3465785203930494E-001                  4.8016108939202684E-001                  2.1616787971143363E-004                  9.7723952357325516E-001                  5.3465785203930494E-001                 -2.4300312375008620E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300312375008620E+001                 -2.4300312375008620E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6376865518298254E+000                  2.2301936004620537E+000                  1.3629825330240026E+000                  1.0129551104353145E+000                  0.0000000000000000E+000                  9.7890398465526065E+000                 -3.3094620915047765E+000                  4.9968096656743972E+000                  6.3824863358930450E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000026672450372E-001                  6.0000114310501548E-002                                        0                                        0                                        5 
                                      25                                      511                  3.1498738881356328E-003                 -3.2757413539126854E+000                  2.0000053411775742E-001                  3.2599709606044591E+001                 -4.1398290739026873E+000                  1.2308482350123888E-005                  4.9038542916152461E-001                  2.1616771417650306E-004                  9.9992741378644800E-001                  5.2021922041319579E-001                  4.9038542916152461E-001                  2.1616771417650306E-004                  9.9992741378644800E-001                  5.2021922041319579E-001                 -2.4300298301616667E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300298301616667E+001                 -2.4300298301616667E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6143202797426417E+000                  2.1322048963578069E+000                  1.3607207251462461E+000                  1.0174790586050391E+000                  0.0000000000000000E+000                  9.7890791125536101E+000                 -3.3094364154947140E+000                  4.9968222691422763E+000                  6.3824729842031425E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000037388243022E-001                  6.0000160235327220E-002                                        0                                        0                                        5 
                                      30                                      510                  7.8825437933256557E-003                 -2.8798351236745612E+000                  2.0000081430716038E-001                  3.2599710214466100E+001                 -4.2727848842791127E+000                  1.2306827959690238E-005                  9.9992063460023417E-001                  1.1308440378582127E-004                  3.5772145130619215E-005                  7.8135877212837102E-008                  9.9992063460023417E-001                  1.1308440378582127E-004                  3.5772145130619215E-005                  7.8135877212837102E-008                 -2.4300262627937453E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300262627937453E+001                 -2.4300262627937453E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5914065134353788E+000                  2.0330690618685257E+000                  1.3569803405161323E+000                  1.0249604362867737E+000                  0.0000000000000000E+000                  9.7891635563870860E+000                 -3.3093813520272155E+000                  4.9968495067095544E+000                  6.3824440510694957E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000057001501215E-001                  6.0000244292148119E-002                                        0                                        0                                        5 
                                      35                                      509                  1.9658940971808096E-002                 -2.4839288934364374E+000                  2.0000132814482208E-001                  3.2599711330244425E+001                 -4.4051484220239683E+000                  1.2260504807713159E-005                  9.9991525363551581E-001                  1.1308411442407107E-004                  3.5772053226690304E-005                  7.8135677039625762E-008                  9.9991525363551581E-001                  1.1308411442407107E-004                  3.5772053226690304E-005                  7.8135677039625762E-008                 -2.4300185350404472E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300185350404472E+001                 -2.4300185350404472E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5758122844498659E+000                  1.9617951472650588E+000                  1.3525318411854237E+000                  1.0338585507265197E+000                  0.0000000000000000E+000                  9.7893189657602164E+000                 -3.3092800453607225E+000                  4.9968996616374026E+000                  6.3823907539740476E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000092970137540E-001                  6.0000398443446575E-002                                        0                                        0                                        5 
                                      40                                      508                  4.8962385598969510E-002                 -2.0880226631983132E+000                  2.0000227120135419E-001                  3.2599713378047241E+001                 -4.5372755239930571E+000                  5.0007160618040172E-007                  9.9991518205034213E-001                  1.1308358442758596E-004                  9.9999149024778600E-001                  9.9997627103225362E-001                  9.9991518205034213E-001                  1.1308358442758596E-004                  9.9999149024778600E-001                  9.9997627103225362E-001                 -2.4300033143570261E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.4300033143570261E+001                 -2.4300033143570261E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5662733200326699E+000                  1.9170626707196154E+000                  1.3492435317470932E+000                  1.0404372174059942E+000                  0.0000000000000000E+000                  9.7895839974172283E+000                 -3.3091072880360990E+000                  4.9969852027090091E+000                  6.3822998365318839E-001                  8.4999999999999998E-001                  1.2903225806451615E+000                  6.9999999999999996E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000158984094793E-001                  6.0000681360406233E-002                                        0                                        0                                        5 
