                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200522"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      514                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.0000020787942008E-001                  3.2599708897628354E+001                 -2.5006954719830214E+000                  1.2308621179744518E-005                  9.9994800425258135E-001                  3.4739738044556312E-001                  9.3959390931449338E-002                  4.1699030111251714E-002                  9.9994800425258135E-001                  3.4739738044556312E-001                  9.3959390931449338E-002                  4.1699030111251714E-002                 -1.3255892902063833E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255892902063833E+001                 -1.3255892902063833E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6447079707480485E+000                  2.2641321930550928E+000                  1.3659089914840761E+000                  1.0071018175131448E+000                  0.0000000000000000E+000                  9.7890071848933466E+000                 -3.3094847117936244E+000                  4.9968002708945907E+000                  6.3824956548389866E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999764551299559E-001                  6.0000062363826018E-002                                        0                                        0                                        7 
                                       5                                      516                  5.2944000000000007E-005                 -4.8593662748651818E+000                  2.0000022311735788E-001                  3.2599708930717078E+001                 -3.5313161766488421E+000                  1.2308629406885714E-005                  4.6979889030919408E-001                  1.5445575353320654E-003                  9.6105237645883201E-001                  5.4877459502963455E-001                  4.6979889030919408E-001                  1.5445575353320654E-003                  9.6105237645883201E-001                  5.4877459502963455E-001                 -1.3255892265293749E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255892265293749E+001                 -1.3255892265293749E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6467216303192340E+000                  2.2719280649190607E+000                  1.3657796082736884E+000                  1.0073606170226459E+000                  0.0000000000000000E+000                  9.7890088270994173E+000                 -3.3094835157960749E+000                  4.9968006926764454E+000                  6.3824952692972914E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999765617936147E-001                  6.0000066935207347E-002                                        0                                        0                                        5 
                                      10                                      515                  1.7639121407999998E-004                 -4.4634600446270571E+000                  2.0000025020657552E-001                  3.2599708989540503E+001                 -3.7178536399018776E+000                  1.2308628987087923E-005                  4.6979882667685058E-001                  1.5445573261205503E-003                  9.6105224628820984E-001                  5.4877452069908339E-001                  4.6979882667685058E-001                  1.5445573261205503E-003                  9.6105224628820984E-001                  5.4877452069908339E-001                 -1.3255890710837296E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255890710837296E+001                 -1.3255890710837296E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6514891358941592E+000                  2.2902845172893738E+000                  1.3654228233089956E+000                  1.0080742457754506E+000                  0.0000000000000000E+000                  9.7890129071584688E+000                 -3.3094804187853741E+000                  4.9968016323375863E+000                  6.3824944890647251E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999767514147546E-001                  6.0000075061972670E-002                                        0                                        0                                        5 
                                      15                                      519                  4.8356738581954549E-004                 -4.0675538143889334E+000                  2.0000029697890392E-001                  3.2599709091105183E+001                 -3.8670286887582166E+000                  1.2308627043316663E-005                  4.7499713692543422E-001                  2.1616797321757908E-004                  9.7017131784893706E-001                  5.4410480107653636E-001                  4.7499713692543422E-001                  2.1616797321757908E-004                  9.7017131784893706E-001                  5.4410480107653636E-001                 -1.3255887563715174E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255887563715174E+001                 -1.3255887563715174E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6511040893802305E+000                  2.2871192881452695E+000                  1.3646103017648008E+000                  1.0096993904285219E+000                  0.0000000000000000E+000                  9.7890213737198728E+000                 -3.3094743872859209E+000                  4.9968039229203152E+000                  6.3824923109258436E-001                  8.4999374999999999E-001                  1.2903329865563431E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999770788152044E-001                  6.0000089093671168E-002                                        0                                        0                                        5 
                                      20                                      513                  1.2479199974824910E-003                 -3.6716475841508096E+000                  2.0000038103500550E-001                  3.2599709273630381E+001                 -4.0053745858301228E+000                  1.2308613513096740E-005                  4.8016108939202573E-001                  2.1616787970902483E-004                  9.7723952357325516E-001                  5.3465785203930338E-001                  4.8016108939202573E-001                  2.1616787970902483E-004                  9.7723952357325516E-001                  5.3465785203930338E-001                 -1.3255880873343891E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255880873343891E+001                 -1.3255880873343891E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6376934072288454E+000                  2.2302221611130224E+000                  1.3629831025514472E+000                  1.0129539713804254E+000                  0.0000000000000000E+000                  9.7890398464884267E+000                 -3.3094620852211873E+000                  4.9968096601998528E+000                  6.3824863448648683E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999776671974082E-001                  6.0000114310501604E-002                                        0                                        0                                        5 
                                      25                                      513                  3.1498738881356328E-003                 -3.2757413539126854E+000                  2.0000053411775742E-001                  3.2599709606044591E+001                 -4.1398290739026873E+000                  1.2308482361683392E-005                  4.9038542916152339E-001                  2.1616771417434419E-004                  9.9992741369476756E-001                  5.2021922041319402E-001                  4.9038542916152339E-001                  2.1616771417434419E-004                  9.9992741369476756E-001                  5.2021922041319402E-001                 -1.3255866799533647E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255866799533647E+001                 -1.3255866799533647E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6143230197542762E+000                  2.1322164522654088E+000                  1.3607210230767783E+000                  1.0174784627439746E+000                  0.0000000000000000E+000                  9.7890791143838136E+000                 -3.3094364081300900E+000                  4.9968222644117510E+000                  6.3824729923078183E-001                  8.4999374999999977E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999787387575363E-001                  6.0000160235327185E-002                                        0                                        0                                        5 
                                      30                                      511                  7.8825437933256557E-003                 -2.8798351236745612E+000                  2.0000081430716038E-001                  3.2599710214466100E+001                 -4.2727848842791127E+000                  1.2306828970111787E-005                  9.9992063460915437E-001                  1.1308440378394433E-004                  3.5772145128065702E-005                  7.8135874437279540E-008                  9.9992063460915437E-001                  1.1308440378394433E-004                  3.5772145128065702E-005                  7.8135874437279540E-008                 -1.3255831125898366E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255831125898366E+001                 -1.3255831125898366E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5914098803141981E+000                  2.0330828356924187E+000                  1.3569804936704399E+000                  1.0249601299781581E+000                  0.0000000000000000E+000                  9.7891635540322302E+000                 -3.3093813473669300E+000                  4.9968495006078788E+000                  6.3824440606432609E-001                  8.4999374999999999E-001                  1.2903329865563431E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999807000483339E-001                  6.0000244292148092E-002                                        0                                        0                                        5 
                                      35                                      508                  1.9658940971808096E-002                 -2.4839288934364374E+000                  2.0000132814482208E-001                  3.2599711330244425E+001                 -4.4051484220239683E+000                  1.2260564255944594E-005                  9.9991525382952751E-001                  1.1308411442284895E-004                  3.5772053223914746E-005                  7.8135673931001293E-008                  9.9991525382952751E-001                  1.1308411442284895E-004                  3.5772053223914746E-005                  7.8135673931001293E-008                 -1.3255753846056912E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255753846056912E+001                 -1.3255753846056912E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5758094030512684E+000                  1.9617837564963514E+000                  1.3525319085982643E+000                  1.0338584159008386E+000                  0.0000000000000000E+000                  9.7893189685942392E+000                 -3.3092800376071585E+000                  4.9968996574596440E+000                  6.3823907613596353E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999842968477350E-001                  6.0000398443446540E-002                                        0                                        0                                        5 
                                      40                                      520                  4.8962385598969510E-002                 -2.0880226631983132E+000                  2.0000227120135419E-001                  3.2599713378047241E+001                 -4.5372755239930571E+000                  2.5003583454592698E-007                  9.9991518278053504E-001                  1.1308358442594120E-004                  9.9999210743221423E-001                  9.9997628050326270E-001                  9.9991518278053504E-001                  1.1308358442594120E-004                  9.9999210743221423E-001                  9.9997628050326270E-001                 -1.3255601638451038E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3255601638451038E+001                 -1.3255601638451038E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5662727408688171E+000                  1.9170612111523866E+000                  1.3492439602911859E+000                  1.0404363603178086E+000                  0.0000000000000000E+000                  9.7895839999288565E+000                 -3.3091072799534995E+000                  4.9969851979622550E+000                  6.3822998447918966E-001                  8.4999374999999999E-001                  1.2903329865563433E+000                  6.9998749999999998E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999908981255793E-001                  6.0000681360406254E-002                                        0                                        0                                        5 
