                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200522"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      512                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.0000020787942008E-001                  3.2599708897628354E+001                 -2.5006954719830214E+000                  1.2308621178577278E-005                  9.9994800426821107E-001                  3.4739738044564672E-001                  9.3959390931450226E-002                  4.1699030111247967E-002                  9.9994800426821107E-001                  3.4739738044564672E-001                  9.3959390931450226E-002                  4.1699030111247967E-002                 -1.2954870706989572E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2954870706989572E+001                 -1.2954870706989572E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6446382776378297E+000                  2.2638479193950807E+000                  1.3659062408745068E+000                  1.0071073187322832E+000                  0.0000000000000000E+000                  9.7890071837972901E+000                 -3.3094847153515743E+000                  4.9968002729925205E+000                  6.3824956511916486E-001                  8.4998750000000001E-001                  1.2903433926353653E+000                  6.9997499999999990E-001                  2.9999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999514551039705E-001                  6.0000062363826039E-002                                        0                                        0                                        7 
                                       5                                      514                  5.2944000000000007E-005                 -4.8593662748651818E+000                  2.0000022311735788E-001                  3.2599708930717078E+001                 -3.5313161766488421E+000                  1.2308629407065563E-005                  4.6979889030919453E-001                  1.5445575353328070E-003                  9.6105237645883190E-001                  5.4877459502963666E-001                  4.6979889030919453E-001                  1.5445575353328070E-003                  9.6105237645883190E-001                  5.4877459502963666E-001                 -1.2954870070489420E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2954870070489420E+001                 -1.2954870070489420E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6466441696511351E+000                  2.2716131929138279E+000                  1.3657770936072700E+000                  1.0073656463554830E+000                  0.0000000000000000E+000                  9.7890088258353387E+000                 -3.3094835194254233E+000                  4.9968006946872752E+000                  6.3824952657615142E-001                  8.4998750000000001E-001                  1.2903433926353653E+000                  6.9997499999999990E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999515617657246E-001                  6.0000066935207347E-002                                        0                                        0                                        5 
                                      10                                      513                  1.7639121407999998E-004                 -4.4634600446270571E+000                  2.0000025020657552E-001                  3.2599708989540503E+001                 -3.7178536399018776E+000                  1.2308628987423872E-005                  4.6979882667685147E-001                  1.5445573261222082E-003                  9.6105224628820984E-001                  5.4877452069908450E-001                  4.6979882667685147E-001                  1.5445573261222082E-003                  9.6105224628820984E-001                  5.4877452069908450E-001                 -1.2954868516107684E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2954868516107684E+001                 -1.2954868516107684E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6514288593405864E+000                  2.2900395384397041E+000                  1.3654208869913051E+000                  1.0080781184108318E+000                  0.0000000000000000E+000                  9.7890129061629541E+000                 -3.3094804220149192E+000                  4.9968016342413151E+000                  6.3824944857548416E-001                  8.4998749999999978E-001                  1.2903433926353651E+000                  6.9997499999999990E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999517513834780E-001                  6.0000075061972635E-002                                        0                                        0                                        5 
                                      15                                      517                  4.8356738581954549E-004                 -4.0675538143889334E+000                  2.0000029697890392E-001                  3.2599709091105183E+001                 -3.8670286887582166E+000                  1.2308627043739636E-005                  4.7499713692543510E-001                  2.1616797322289799E-004                  9.7017131784893706E-001                  5.4410480107653758E-001                  4.7499713692543510E-001                  2.1616797322289799E-004                  9.7017131784893706E-001                  5.4410480107653758E-001                 -1.2954865368348710E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2954865368348710E+001                 -1.2954865368348710E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6510724951109683E+000                  2.2869905431141584E+000                  1.3646091177877691E+000                  1.0097017583825856E+000                  0.0000000000000000E+000                  9.7890213724800077E+000                 -3.3094743905535910E+000                  4.9968039246407221E+000                  6.3824923078711659E-001                  8.4998750000000001E-001                  1.2903433926353651E+000                  6.9997499999999990E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999520787780834E-001                  6.0000089093671181E-002                                        0                                        0                                        5 
                                      20                                      511                  1.2479199974824910E-003                 -3.6716475841508096E+000                  2.0000038103500550E-001                  3.2599709273630381E+001                 -4.0053745858301228E+000                  1.2308613511921494E-005                  4.8016108939202684E-001                  2.1616787971133735E-004                  9.7723952357325516E-001                  5.3465785203930494E-001                  4.8016108939202684E-001                  2.1616787971133735E-004                  9.7723952357325516E-001                  5.3465785203930494E-001                 -1.2954858677558542E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2954858677558542E+001                 -1.2954858677558542E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6376865518270378E+000                  2.2301936004090237E+000                  1.3629825330030620E+000                  1.0129551104771957E+000                  0.0000000000000000E+000                  9.7890398471031439E+000                 -3.3094620875918732E+000                  4.9968096627877596E+000                  6.3824863407328458E-001                  8.4998750000000001E-001                  1.2903433926353653E+000                  6.9997499999999990E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999526671497786E-001                  6.0000114310501548E-002                                        0                                        0                                        5 
                                      25                                      511                  3.1498738881356328E-003                 -3.2757413539126854E+000                  2.0000053411775742E-001                  3.2599709606044591E+001                 -4.1398290739026873E+000                  1.2308482358921045E-005                  4.9038542916152461E-001                  2.1616771417639125E-004                  9.9992741378644800E-001                  5.2021922041319568E-001                  4.9038542916152461E-001                  2.1616771417639125E-004                  9.9992741378644800E-001                  5.2021922041319568E-001                 -1.2954844603598826E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2954844603598826E+001                 -1.2954844603598826E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6143202797484286E+000                  2.1322048964662224E+000                  1.3607207251888802E+000                  1.0174790585197708E+000                  0.0000000000000000E+000                  9.7890791153822541E+000                 -3.3094364100941971E+000                  4.9968222669886195E+000                  6.3824729882654829E-001                  8.4998750000000001E-001                  1.2903433926353651E+000                  6.9997499999999990E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999537386907715E-001                  6.0000160235327220E-002                                        0                                        0                                        5 
                                      30                                      510                  7.8825437933256557E-003                 -2.8798351236745612E+000                  2.0000081430716038E-001                  3.2599710214466100E+001                 -4.2727848842791127E+000                  1.2306827992981406E-005                  9.9992063460023417E-001                  1.1308440378608649E-004                  3.5772145130619215E-005                  7.8135877212837102E-008                  9.9992063460023417E-001                  1.1308440378608649E-004                  3.5772145130619215E-005                  7.8135877212837102E-008                 -1.2954808930953620E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2954808930953620E+001                 -1.2954808930953620E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5914065134041984E+000                  2.0330690616414513E+000                  1.3569803404649552E+000                  1.0249604363891280E+000                  0.0000000000000000E+000                  9.7891635564516477E+000                 -3.3093813484281842E+000                  4.9968495036635510E+000                  6.3824440560803186E-001                  8.4998749999999978E-001                  1.2903433926353651E+000                  6.9997499999999990E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999556999465454E-001                  6.0000244292148119E-002                                        0                                        0                                        5 
                                      35                                      509                  1.9658940971808096E-002                 -2.4839288934364374E+000                  2.0000132814482208E-001                  3.2599711330244425E+001                 -4.4051484220239683E+000                  1.2260505643445522E-005                  9.9991525363551581E-001                  1.1308411442487458E-004                  3.5772053226690304E-005                  7.8135677039625762E-008                  9.9991525363551581E-001                  1.1308411442487458E-004                  3.5772053226690304E-005                  7.8135677039625762E-008                 -1.2954731651956946E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2954731651956946E+001                 -1.2954731651956946E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5758122845697291E+000                  1.9617951493725778E+000                  1.3525318419994565E+000                  1.0338585490984542E+000                  0.0000000000000000E+000                  9.7893189709501254E+000                 -3.3092800384206980E+000                  4.9968996602455364E+000                  6.3823907572272875E-001                  8.4998750000000001E-001                  1.2903433926353653E+000                  6.9997499999999990E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999592966817168E-001                  6.0000398443446575E-002                                        0                                        0                                        5 
                                      40                                      508                  4.8962385598969510E-002                 -2.0880226631983132E+000                  2.0000227120135419E-001                  3.2599713378047241E+001                 -4.5372755239930571E+000                  5.0007160567805729E-007                  9.9991518205034213E-001                  1.1308358442628821E-004                  9.9999149024778600E-001                  9.9997627103200559E-001                  9.9991518205034213E-001                  1.1308358442628821E-004                  9.9999149024778600E-001                  9.9997627103200559E-001                 -1.2954579443385271E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.2954579443385271E+001                 -1.2954579443385271E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5662733198930638E+000                  1.9170626736113541E+000                  1.3492435334721746E+000                  1.0404372139558311E+000                  0.0000000000000000E+000                  9.7895840039373834E+000                 -3.3091072802289698E+000                  4.9969852017464707E+000                  6.3822998393289843E-001                  8.4998750000000001E-001                  1.2903433926353653E+000                  6.9997499999999990E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999658978416785E-001                  6.0000681360406233E-002                                        0                                        0                                        5 
