                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200522"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      512                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.0000020787942008E-001                  3.2599708897628354E+001                 -2.5006954719830214E+000                  1.2308621178798347E-005                  9.9994800426821107E-001                  3.4739738044554502E-001                  9.3959390931450226E-002                  4.1699030111249293E-002                  9.9994800426821107E-001                  3.4739738044554502E-001                  9.3959390931450226E-002                  4.1699030111249293E-002                 -1.3954856666713779E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3954856666713779E+001                 -1.3954856666713779E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6446382776373838E+000                  2.2638479193963348E+000                  1.3659062408760265E+000                  1.0071073187292436E+000                  0.0000000000000000E+000                  9.7890071841493889E+000                 -3.3094847175010278E+000                  4.9968002751573204E+000                  6.3824956477049544E-001                  8.4999874999999991E-001                  1.2903246618139710E+000                  6.9999749999999994E-001                  2.9999999999999999E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999964551507429E-001                  6.0000062363826039E-002                                        0                                        0                                        7 
                                       5                                      514                  5.2944000000000007E-005                 -4.8593662748651818E+000                  2.0000022311735788E-001                  3.2599708930717078E+001                 -3.5313161766488421E+000                  1.2308629407062261E-005                  4.6979889030919453E-001                  1.5445575353328033E-003                  9.6105237645883190E-001                  5.4877459502963277E-001                  4.6979889030919453E-001                  1.5445575353328033E-003                  9.6105237645883190E-001                  5.4877459502963277E-001                 -1.3954856030200171E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3954856030200171E+001                 -1.3954856030200171E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6466441696509051E+000                  2.2716131929236263E+000                  1.3657770936126301E+000                  1.0073656463447627E+000                  0.0000000000000000E+000                  9.7890088262420871E+000                 -3.3094835215344469E+000                  4.9968006968655700E+000                  6.3824952622628739E-001                  8.4999875000000014E-001                  1.2903246618139710E+000                  6.9999749999999994E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999965618159274E-001                  6.0000066935207347E-002                                        0                                        0                                        5 
                                      10                                      513                  1.7639121407999998E-004                 -4.4634600446270571E+000                  2.0000025020657552E-001                  3.2599708989540503E+001                 -3.7178536399018776E+000                  1.2308628987331620E-005                  4.6979882667685147E-001                  1.5445573261221941E-003                  9.6105224628820984E-001                  5.4877452069908417E-001                  4.6979882667685147E-001                  1.5445573261221941E-003                  9.6105224628820984E-001                  5.4877452069908417E-001                 -1.3954854475818044E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3954854475818044E+001                 -1.3954854475818044E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6514288593408635E+000                  2.2900395384625241E+000                  1.3654208870021611E+000                  1.0080781183891196E+000                  0.0000000000000000E+000                  9.7890129067523937E+000                 -3.3094804239979845E+000                  4.9968016364726502E+000                  6.3824944822032670E-001                  8.4999874999999991E-001                  1.2903246618139710E+000                  6.9999749999999994E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999967514397746E-001                  6.0000075061972635E-002                                        0                                        0                                        5 
                                      15                                      517                  4.8356738581954549E-004                 -4.0675538143889334E+000                  2.0000029697890392E-001                  3.2599709091105183E+001                 -3.8670286887582166E+000                  1.2308627043368707E-005                  4.7499713692543510E-001                  2.1616797322373147E-004                  9.7017131784893706E-001                  5.4410480107653780E-001                  4.7499713692543510E-001                  2.1616797322373147E-004                  9.7017131784893706E-001                  5.4410480107653780E-001                 -1.3954851328054383E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3954851328054383E+001                 -1.3954851328054383E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6510724951118831E+000                  2.2869905431045452E+000                  1.3646091177811330E+000                  1.0097017583958576E+000                  0.0000000000000000E+000                  9.7890213733385600E+000                 -3.3094743923649159E+000                  4.9968039269620821E+000                  6.3824923042220927E-001                  8.4999875000000014E-001                  1.2903246618139710E+000                  6.9999749999999994E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999970788449023E-001                  6.0000089093671181E-002                                        0                                        0                                        5 
                                      20                                      511                  1.2479199974824910E-003                 -3.6716475841508096E+000                  2.0000038103500550E-001                  3.2599709273630381E+001                 -4.0053745858301228E+000                  1.2308613510412344E-005                  4.8016108939202684E-001                  2.1616787971132748E-004                  9.7723952357325516E-001                  5.3465785203930494E-001                  4.8016108939202684E-001                  2.1616787971132748E-004                  9.7723952357325516E-001                  5.3465785203930494E-001                 -1.3954844637195201E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3954844637195201E+001                 -1.3954844637195201E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6376865518364614E+000                  2.2301936006135068E+000                  1.3629825330864571E+000                  1.0129551103104055E+000                  0.0000000000000000E+000                  9.7890398486700629E+000                 -3.3094620889521331E+000                  4.9968096653469551E+000                  6.3824863368257090E-001                  8.4999875000000014E-001                  1.2903246618139710E+000                  6.9999749999999994E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999976672355111E-001                  6.0000114310501548E-002                                        0                                        0                                        5 
                                      25                                      511                  3.1498738881356328E-003                 -3.2757413539126854E+000                  2.0000053411775742E-001                  3.2599709606044591E+001                 -4.1398290739026873E+000                  1.2308482351391435E-005                  4.9038542916152461E-001                  2.1616771417639128E-004                  9.9992741378644800E-001                  5.2021922041319590E-001                  4.9038542916152461E-001                  2.1616771417639128E-004                  9.9992741378644800E-001                  5.2021922041319590E-001                 -1.3954830563338440E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3954830563338440E+001                 -1.3954830563338440E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6143202797718903E+000                  2.1322048969240885E+000                  1.3607207253708897E+000                  1.0174790581557518E+000                  0.0000000000000000E+000                  9.7890791174225011E+000                 -3.3094364111487802E+000                  4.9968222697030482E+000                  6.3824729841919114E-001                  8.4999874999999991E-001                  1.2903246618139712E+000                  6.9999749999999994E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3999987388109492E-001                  6.0000160235327220E-002                                        0                                        0                                        5 
                                      30                                      510                  7.8825437933256557E-003                 -2.8798351236745612E+000                  2.0000081430716038E-001                  3.2599710214466100E+001                 -4.2727848842791127E+000                  1.2306827925251887E-005                  9.9992063460023417E-001                  1.1308440378574890E-004                  3.5772145130619215E-005                  7.8135877212837102E-008                  9.9992063460023417E-001                  1.1308440378574890E-004                  3.5772145130619215E-005                  7.8135877212837102E-008                 -1.3954794889771309E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3954794889771309E+001                 -1.3954794889771309E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5914065134411652E+000                  2.0330690626570642E+000                  1.3569803408988284E+000                  1.0249604355213815E+000                  0.0000000000000000E+000                  9.7891635545757332E+000                 -3.3093813520357678E+000                  4.9968495051142883E+000                  6.3824440533492988E-001                  8.4999874999999991E-001                  1.2903246618139710E+000                  6.9999749999999994E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000007001297643E-001                  6.0000244292148119E-002                                        0                                        0                                        5 
                                      35                                      509                  1.9658940971808096E-002                 -2.4839288934364374E+000                  2.0000132814482208E-001                  3.2599711330244425E+001                 -4.4051484220239683E+000                  1.2260499643840312E-005                  9.9991525363551581E-001                  1.1308411442376570E-004                  3.5772053226690304E-005                  7.8135677039625762E-008                  9.9991525363551581E-001                  1.1308411442376570E-004                  3.5772053226690304E-005                  7.8135677039625762E-008                 -1.3954717611262062E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3954717611262062E+001                 -1.3954717611262062E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5758122844733258E+000                  1.9617951504220603E+000                  1.3525318427170041E+000                  1.0338585476633591E+000                  0.0000000000000000E+000                  9.7893189711864714E+000                 -3.3092800406514695E+000                  4.9968996623780555E+000                  6.3823907537715430E-001                  8.4999874999999991E-001                  1.2903246618139710E+000                  6.9999749999999994E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000042969805493E-001                  6.0000398443446575E-002                                        0                                        0                                        5 
                                      40                                      508                  4.8962385598969510E-002                 -2.0880226631983132E+000                  2.0000227120135419E-001                  3.2599713378047241E+001                 -4.5372755239930571E+000                  5.0007160623461469E-007                  9.9991518205034213E-001                  1.1308358442740664E-004                  9.9999149024778600E-001                  9.9997627103205378E-001                  9.9991518205034213E-001                  1.1308358442740664E-004                  9.9999149024778600E-001                  9.9997627103205378E-001                 -1.3954565402419547E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3954565402419547E+001                 -1.3954565402419547E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5662733199307199E+000                  1.9170626742590924E+000                  1.3492435337207336E+000                  1.0404372134587134E+000                  0.0000000000000000E+000                  9.7895840040000337E+000                 -3.3091072825730334E+000                  4.9969852038230114E+000                  6.3822998359323369E-001                  8.4999875000000014E-001                  1.2903246618139710E+000                  6.9999749999999994E-001                  2.9999999999999999E-001                  1.0000000000000000E-099                  1.0000000000000000E-099                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4000108983526996E-001                  6.0000681360406233E-002                                        0                                        0                                        5 
